iter	MultiRMSE
0	123.6454674
1	120.452964
2	117.3270374
3	114.2704488
4	111.3262828
5	108.5075732
6	105.7647904
7	103.1155497
8	100.536277
9	98.04452586
10	95.64218293
11	93.32707387
12	91.10794659
13	88.93551425
14	86.85310906
15	84.85065121
16	82.89790352
17	81.03625593
18	79.23223114
19	77.48476716
20	75.78667656
21	74.16211167
22	72.6117767
23	71.11182028
24	69.64144444
25	68.24244798
26	66.89776672
27	65.61184112
28	64.34638202
29	63.16551738
30	62.01267153
31	60.90694376
32	59.83307657
33	58.81539058
34	57.84233952
35	56.88766952
36	56.00346119
37	55.12557152
38	54.28371062
39	53.50619148
40	52.73203681
41	52.00031027
42	51.30421212
43	50.62258965
44	49.97524004
45	49.34800069
46	48.75634111
47	48.19778228
48	47.65724503
49	47.13913345
50	46.64085742
51	46.16720577
52	45.71234831
53	45.26754013
54	44.84816639
55	44.45301795
56	44.08508637
57	43.73056849
58	43.38145607
59	43.0374415
60	42.72070798
61	42.41552719
62	42.1357072
63	41.86523687
64	41.58697683
65	41.32463848
66	41.06280995
67	40.82538144
68	40.61544295
69	40.40582424
70	40.18957949
71	39.99828586
72	39.80655053
73	39.62214137
74	39.45663051
75	39.28290778
76	39.13696448
77	38.97348164
78	38.82640627
79	38.69215655
80	38.55663306
81	38.43178978
82	38.30511802
83	38.17985519
84	38.07201424
85	37.96059687
86	37.86367725
87	37.75427569
88	37.66120564
89	37.5629523
90	37.47287417
91	37.38774518
92	37.29831213
93	37.2041923
94	37.1348426
95	37.06365228
96	36.98971745
97	36.91948463
98	36.85242016
99	36.79527362
100	36.74043425
101	36.68852168
102	36.6274385
103	36.56676792
104	36.50944118
105	36.455345
106	36.4085844
107	36.36219758
108	36.31445177
109	36.27398754
110	36.22731076
111	36.18897215
112	36.14534
113	36.10270202
114	36.06084545
115	36.01988655
116	35.98254478
117	35.95244383
118	35.92053689
119	35.88118402
120	35.85073642
121	35.82347126
122	35.79246376
123	35.75970869
124	35.72719375
125	35.70370889
126	35.67191511
127	35.64150725
128	35.61828531
129	35.59273054
130	35.56752293
131	35.54622466
132	35.52573638
133	35.49410794
134	35.46722731
135	35.43664753
136	35.41476366
137	35.39196475
138	35.37064507
139	35.35052946
140	35.33024077
141	35.30936017
142	35.29399759
143	35.2752664
144	35.25680362
145	35.24231562
146	35.22083631
147	35.20066133
148	35.17517194
149	35.15888961
150	35.14365842
151	35.12963436
152	35.11791792
153	35.10072652
154	35.08802566
155	35.07554663
156	35.0600205
157	35.0420004
158	35.02532449
159	35.00905846
160	34.9976742
161	34.98741619
162	34.96750861
163	34.95557083
164	34.94029006
165	34.92716305
166	34.91174594
167	34.892463
168	34.88225479
169	34.87231967
170	34.86250912
171	34.84562247
172	34.83184138
173	34.82301817
174	34.81180413
175	34.79887729
176	34.78531497
177	34.77392172
178	34.76008777
179	34.7426395
180	34.7305647
181	34.71986506
182	34.70578688
183	34.69368613
184	34.67422606
185	34.66149193
186	34.65246016
187	34.64428328
188	34.63313572
189	34.62498842
190	34.6153333
191	34.60529132
192	34.59110684
193	34.57597297
194	34.56569104
195	34.55667626
196	34.5491032
197	34.54043034
198	34.53118251
199	34.51892483
200	34.50954604
201	34.49416701
202	34.48786448
203	34.47846907
204	34.4685709
205	34.45364967
206	34.44358127
207	34.43289195
208	34.42198562
209	34.41289681
210	34.40744633
211	34.39924152
212	34.38997081
213	34.38311429
214	34.36747042
215	34.35987569
216	34.34964706
217	34.33529974
218	34.32280256
219	34.31401205
220	34.30303212
221	34.29900644
222	34.28461179
223	34.27915723
224	34.26867963
225	34.26415793
226	34.25672651
227	34.24512035
228	34.23539747
229	34.22746442
230	34.21470106
231	34.2049667
232	34.19797029
233	34.18595941
234	34.17527434
235	34.16765519
236	34.15733341
237	34.15107157
238	34.14531429
239	34.13590912
240	34.12367181
241	34.11313796
242	34.09881027
243	34.0948389
244	34.08119022
245	34.06834629
246	34.06427419
247	34.0578054
248	34.05363714
249	34.0415078
250	34.03231532
251	34.02789227
252	34.02168946
253	34.01177627
254	34.00088147
255	33.99052196
256	33.98101264
257	33.97582387
258	33.9627689
259	33.95625136
260	33.94518788
261	33.9351421
262	33.91957222
263	33.91391532
264	33.90553187
265	33.89526915
266	33.88122644
267	33.87343089
268	33.86517063
269	33.8587779
270	33.84883268
271	33.84158147
272	33.82834061
273	33.81954876
274	33.80803342
275	33.79850469
276	33.79098395
277	33.77891726
278	33.77327008
279	33.7606073
280	33.75586077
281	33.75313327
282	33.74227213
283	33.73221185
284	33.72696564
285	33.72241826
286	33.70987359
287	33.70067175
288	33.68972105
289	33.68006607
290	33.67176684
291	33.6586952
292	33.64746668
293	33.63957686
294	33.63046356
295	33.62680521
296	33.6233302
297	33.61562955
298	33.60764633
299	33.60154027
300	33.59184432
301	33.58351628
302	33.56744015
303	33.56062515
304	33.55124846
305	33.54117237
306	33.53198803
307	33.52427514
308	33.51316512
309	33.50503275
310	33.49259503
311	33.48455885
312	33.47605229
313	33.4631571
314	33.45121836
315	33.44233438
316	33.43060238
317	33.42324302
318	33.41321413
319	33.40285352
320	33.39224849
321	33.38326754
322	33.3771889
323	33.36970558
324	33.36594305
325	33.36221418
326	33.35353309
327	33.34064667
328	33.32956215
329	33.31838115
330	33.31509917
331	33.30436919
332	33.29710513
333	33.28653281
334	33.2800545
335	33.27143023
336	33.26642892
337	33.26105414
338	33.25388384
339	33.24416703
340	33.23609497
341	33.22838711
342	33.22361192
343	33.21432878
344	33.20492916
345	33.19934731
346	33.191584
347	33.18723135
348	33.17195585
349	33.16655102
350	33.15455094
351	33.1448155
352	33.1354735
353	33.12911333
354	33.12287887
355	33.11100333
356	33.10070807
357	33.09240924
358	33.0773182
359	33.06982159
360	33.06337672
361	33.05604097
362	33.04807516
363	33.04181832
364	33.03594871
365	33.0279829
366	33.02242983
367	33.01871472
368	33.01336219
369	33.00434486
370	32.99794604
371	32.9873462
372	32.9822656
373	32.97327314
374	32.96452366
375	32.95631741
376	32.94804293
377	32.93682687
378	32.92730492
379	32.91858803
380	32.90639199
381	32.89976287
382	32.8875956
383	32.87855658
384	32.87198117
385	32.86417128
386	32.85381129
387	32.85127176
388	32.84253324
389	32.8352417
390	32.8290885
391	32.81912685
392	32.80618341
393	32.79701901
394	32.79105525
395	32.78472938
396	32.77695311
397	32.76885871
398	32.76039529
399	32.75182537
400	32.73844184
401	32.73031013
402	32.7256064
403	32.71694457
404	32.71062616
405	32.70399165
406	32.69519738
407	32.68646297
408	32.67885454
409	32.66569754
410	32.65225874
411	32.64302497
412	32.63596556
413	32.62668466
414	32.61480424
415	32.60741257
416	32.59665033
417	32.58750626
418	32.58148653
419	32.57759222
420	32.5666669
421	32.55765875
422	32.55261981
423	32.54255862
424	32.53358541
425	32.52562331
426	32.51670411
427	32.50900573
428	32.50264361
429	32.49741581
430	32.49020168
431	32.48455446
432	32.47537288
433	32.46382173
434	32.45101168
435	32.44007077
436	32.433275
437	32.42880399
438	32.42087643
439	32.41619595
440	32.40648066
441	32.40212846
442	32.39911454
443	32.39337107
444	32.38596974
445	32.37518865
446	32.36917838
447	32.3612068
448	32.3501786
449	32.34266699
450	32.33695859
451	32.3305842
452	32.32431442
453	32.31941737
454	32.31109889
455	32.30506181
456	32.29782261
457	32.29076097
458	32.28651058
459	32.27946216
460	32.27240206
461	32.26510811
462	32.25590029
463	32.2514335
464	32.24633299
465	32.23769048
466	32.23141815
467	32.22359798
468	32.21524773
469	32.2042264
470	32.19795027
471	32.18544551
472	32.18355556
473	32.17667329
474	32.17029834
475	32.16442867
476	32.15757877
477	32.14987873
478	32.14201239
479	32.13544203
480	32.12269275
481	32.11938011
482	32.1106953
483	32.10260026
484	32.09282691
485	32.08437037
486	32.07435035
487	32.0683187
488	32.06089819
489	32.05572798
490	32.04450438
491	32.03603433
492	32.02982235
493	32.02148511
494	32.01315375
495	32.00648091
496	31.99949763
497	31.9908844
498	31.98685063
499	31.98167427
500	31.97320032
501	31.96586822
502	31.95883677
503	31.95361463
504	31.95028182
505	31.94173578
506	31.93601117
507	31.93143541
508	31.92829038
509	31.92151147
510	31.91432961
511	31.9083252
512	31.90229224
513	31.89522166
514	31.88577982
515	31.87449081
516	31.86994154
517	31.86316656
518	31.85573317
519	31.84789153
520	31.83931071
521	31.83310986
522	31.82601426
523	31.81941542
524	31.81124982
525	31.80418146
526	31.79556147
527	31.78796409
528	31.78195437
529	31.77883745
530	31.77128231
531	31.76677275
532	31.76090366
533	31.75591214
534	31.7510226
535	31.74332314
536	31.73579422
537	31.72902167
538	31.72156066
539	31.7162912
540	31.70883191
541	31.70022921
542	31.69491536
543	31.68358982
544	31.67654055
545	31.66831041
546	31.66369103
547	31.6590678
548	31.65546256
549	31.64982456
550	31.64340529
551	31.63805994
552	31.63087861
553	31.62380235
554	31.61469494
555	31.60472615
556	31.59484976
557	31.58680937
558	31.58008535
559	31.57063365
560	31.56056039
561	31.55026493
562	31.54399498
563	31.53907766
564	31.53551432
565	31.52825485
566	31.52558496
567	31.5177244
568	31.5096549
569	31.50285986
570	31.49865714
571	31.49509766
572	31.48616183
573	31.48182325
574	31.47517647
575	31.46823696
576	31.45769151
577	31.45255086
578	31.44424347
579	31.4362593
580	31.43078768
581	31.42552276
582	31.41915776
583	31.41305215
584	31.40715915
585	31.40246652
586	31.396389
587	31.38883744
588	31.37927365
589	31.37386601
590	31.36163917
591	31.35384075
592	31.34822425
593	31.33730315
594	31.33057854
595	31.32416122
596	31.31742587
597	31.31238028
598	31.30362012
599	31.29987024
600	31.29540586
601	31.2883074
602	31.28000582
603	31.27046876
604	31.26193375
605	31.25747444
606	31.25039706
607	31.24417808
608	31.2351853
609	31.227801
610	31.2213182
611	31.21234711
612	31.20377977
613	31.19516441
614	31.18916352
615	31.18567032
616	31.17856806
617	31.16988906
618	31.16564442
619	31.15658071
620	31.15062804
621	31.14452168
622	31.13575461
623	31.12915037
624	31.12193815
625	31.11270691
626	31.10301066
627	31.09608062
628	31.08865152
629	31.08351682
630	31.07935124
631	31.06897351
632	31.06091211
633	31.05641189
634	31.04733832
635	31.04260252
636	31.0372251
637	31.02917429
638	31.02578512
639	31.01901039
640	31.01342538
641	31.00897575
642	31.00005053
643	30.99152216
644	30.98654422
645	30.97971453
646	30.97255852
647	30.96203004
648	30.95508192
649	30.95276524
650	30.9477177
651	30.94214706
652	30.93339643
653	30.9269946
654	30.91970028
655	30.91330915
656	30.90378612
657	30.89681771
658	30.89026958
659	30.88520742
660	30.87770027
661	30.86740014
662	30.86028083
663	30.8528084
664	30.84903696
665	30.84239125
666	30.83788332
667	30.83278481
668	30.82553538
669	30.81944628
670	30.81309668
671	30.80881355
672	30.80128926
673	30.79639309
674	30.79112052
675	30.78385675
676	30.77753431
677	30.77283015
678	30.766658
679	30.76109005
680	30.755442
681	30.74747085
682	30.74418588
683	30.73516187
684	30.72575308
685	30.72001083
686	30.71682896
687	30.71532667
688	30.71065021
689	30.70515722
690	30.70216893
691	30.69595336
692	30.68964622
693	30.68631503
694	30.67793485
695	30.66999354
696	30.66478986
697	30.6555651
698	30.65065899
699	30.64590904
700	30.6384852
701	30.63249866
702	30.62636287
703	30.6162611
704	30.61068306
705	30.60417885
706	30.59754278
707	30.59259872
708	30.58566347
709	30.58035507
710	30.57050773
711	30.5645265
712	30.55681195
713	30.54993916
714	30.54171452
715	30.53380677
716	30.52839433
717	30.51920931
718	30.51237368
719	30.50386124
720	30.50071169
721	30.49406917
722	30.4879599
723	30.4810763
724	30.47145036
725	30.46341961
726	30.45509076
727	30.44474102
728	30.43687875
729	30.4301966
730	30.42378625
731	30.41701443
732	30.41364548
733	30.40453686
734	30.39918466
735	30.3909171
736	30.38473803
737	30.37879792
738	30.37289151
739	30.36413701
740	30.35527262
741	30.34655517
742	30.3425636
743	30.33666222
744	30.33093601
745	30.32526421
746	30.3186848
747	30.31032094
748	30.30203005
749	30.29586458
750	30.28989122
751	30.28357248
752	30.27698338
753	30.27171645
754	30.26390864
755	30.25629429
756	30.25058707
757	30.24240806
758	30.23665579
759	30.23146573
760	30.22795361
761	30.22102359
762	30.21566121
763	30.20784319
764	30.20142078
765	30.19651566
766	30.18951459
767	30.1846783
768	30.18003622
769	30.1757886
770	30.16881797
771	30.16380096
772	30.15666869
773	30.1484507
774	30.14080265
775	30.13411057
776	30.13044095
777	30.12536183
778	30.12300143
779	30.11574737
780	30.1103245
781	30.10432335
782	30.09852885
783	30.0928168
784	30.08651196
785	30.08211083
786	30.07544236
787	30.07129298
788	30.06428555
789	30.05774405
790	30.05245935
791	30.04533899
792	30.03967528
793	30.03457159
794	30.02824564
795	30.02460379
796	30.01753909
797	30.01280593
798	30.00767789
799	30.00287564
800	29.99918014
801	29.99489577
802	29.9894708
803	29.98238431
804	29.97706523
805	29.9697166
806	29.9646385
807	29.95857276
808	29.95251442
809	29.94794606
810	29.94242666
811	29.93709052
812	29.93033952
813	29.92584899
814	29.92041296
815	29.91515268
816	29.90611473
817	29.90109861
818	29.89547673
819	29.89133857
820	29.88690579
821	29.8819784
822	29.87559643
823	29.87190688
824	29.86483633
825	29.85850485
826	29.85222265
827	29.84775804
828	29.84147357
829	29.83529175
830	29.82915675
831	29.82269152
832	29.8186147
833	29.81360683
834	29.80796447
835	29.79924423
836	29.79304966
837	29.78780354
838	29.77771755
839	29.7730256
840	29.76922447
841	29.76339849
842	29.75789546
843	29.75084407
844	29.74435672
845	29.73901203
846	29.73445272
847	29.72968699
848	29.72340072
849	29.71694075
850	29.71176686
851	29.70486315
852	29.70295701
853	29.69769922
854	29.69083458
855	29.6854449
856	29.68077954
857	29.67555612
858	29.67151352
859	29.66331811
860	29.65671007
861	29.65112209
862	29.64035495
863	29.63431715
864	29.63087903
865	29.6215327
866	29.61639838
867	29.60935105
868	29.60363046
869	29.60061737
870	29.5940982
871	29.58663275
872	29.58052547
873	29.57594788
874	29.57155169
875	29.56528417
876	29.5600248
877	29.5553315
878	29.5499205
